Manufacturer Part Number,Manufacturer Name,Description,Quantity,Digi-Key Part Number
SC0917,Raspberry Pi,RASPBERRY PI PICO H RP2040,1,2648-SC0917-ND
2019,Adafruit Industries LLC,MMA8451 3AXIS ACCEL BREAKOUT BRD,1,1528-1041-ND
1085,Adafruit Industries LLC,ADS1115 16BIT ADC 4CH PROG GAIN,1,1528-1085-ND
0022232021,Molex,CONN HEADER VERT 2POS 2.54MM,10,900-0022232021-ND
0022012027,Molex,CONN RCPT HSG 2POS 2.54MM,10,WM2011-ND
0022232031,Molex,CONN HEADER VERT 3POS 2.54MM,1,WM4201-ND
0022012037,Molex,CONN RCPT HSG 3POS 2.54MM,1,WM2012-ND
0022232041,Molex,CONN HEADER VERT 4POS 2.54MM,3,WM4202-ND
0022012047,Molex,CONN RCPT HSG 4POS 2.54MM,3,900-0022012047-ND
CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 5% 1/4W AXIAL,2,CF14JT10K0CT-ND
0008500113,Molex,CONN 22-30AWG CRIMP TIN,100,WM1114CT-ND
