Index,Onderdeelnr. fabrikant,Naam fabrikant,Beschrijving,Attrition %,Gevraagde hoeveelheid 1,Verpakkingshoeveelheid 1,Verpakkingstype 1,Digi-Key onderdeelnummer 1,Eenheidsprijs 1,Uitgebreide prijs 1,Minimale bestelhoeveelheid 1,Productopmerkingen
1,SC0917,Raspberry Pi,RASPBERRY PI PICO H RP2040,,1,1,Bulk,2648-SC0917-ND,"4,26000","€ 4,26",1,
2,2019,Adafruit Industries LLC,MMA8451 3AXIS ACCEL BREAKOUT BRD,,1,1,Box,1528-1041-ND,"6,78000","€ 6,78",1,
3,1085,Adafruit Industries LLC,ADS1115 16BIT ADC 4CH PROG GAIN,,1,1,Bulk,1528-1085-ND,"12,74000","€ 12,74",1,
4,0022232021,Molex,CONN HEADER VERT 2POS 2.54MM,,10,10,Bulk,900-0022232021-ND,"0,11800","€ 1,18",1,
5,0022012027,Molex,CONN RCPT HSG 2POS 2.54MM,,10,10,Bag,WM2011-ND,"0,06300","€ 0,63",1,
6,0022232031,Molex,CONN HEADER VERT 3POS 2.54MM,,1,1,Bulk,WM4201-ND,"0,19000","€ 0,19",1,
7,0022012037,Molex,CONN RCPT HSG 3POS 2.54MM,,1,1,Bag,WM2012-ND,"0,10000","€ 0,10",1,
8,0022232041,Molex,CONN HEADER VERT 4POS 2.54MM,,3,3,Bulk,WM4202-ND,"0,24000","€ 0,72",1,
9,0022012047,Molex,CONN RCPT HSG 4POS 2.54MM,,3,3,Bag,900-0022012047-ND,"0,13000","€ 0,39",1,
10,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 5% 1/4W AXIAL,,2,2,Cut Tape (CT),CF14JT10K0CT-ND,"0,09000","€ 0,18",1,
11,0008500113,Molex,CONN 22-30AWG CRIMP TIN,,100,100,Cut Tape (CT),WM1114CT-ND,"0,04000","€ 4,00",100,
